name,poi
BELDEN TIMOTHY N,0.23291173759261258
BOWEN JR RAYMOND M,0.15895760169643322
HANNON KEVIN P,0.16719309528675852
DELAINEY DAVID W,0.18013263119266382
CAUSEY RICHARD A,0.1571312908349782
HICKERSON GARY J,0.15434735998832594
FREVERT MARK A,0.2929335482525663
CHAN RONNIE,0.06778455349829782
DONAHUE JR JEFFREY M,0.1604290459737844
REYNOLDS LAWRENCE,0.0683733235994014
HORTON STANLEY C,0.15157973232840163
LEWIS RICHARD,0.15298239194293464
SHERRICK JEFFREY B,0.15329013105810088
MEYER JEROME J,0.06771554132455139
DERRICK JR. JAMES V,0.1619893647227321
PIRO JIM,0.15129792093863131
DETMERING TIMOTHY J,0.15514301468632785
KISHKILL JOSEPH G,0.15193601384983768
BAY FRANKLIN R,0.15246693145782564
PRENTICE JAMES,0.1514438088491584
TOTAL,0.5327103037976115
FALLON JAMES B,0.20996543820400287
METTS MARK,0.1541241868158935
WODRASKA JOHN,0.15146817311187857
MORDAUNT KRISTINA M,0.15153205722837157
CARTER REBECCA C,0.15355116566546875
BHATNAGAR SANJAY,0.1317068518305523
WALTERS GARETH W,0.0677317769207169
BIBI PHILIPPE A,0.15466164991550435
SHERRIFF JOHN R,0.15551194898684448
GIBBS DANA R,0.1514734480847192
LINDHOLM TOD A,0.15174600102537464
MCMAHON JEFFREY,0.21286309618592206
